Name	InDbName	InDbType	AltURI	thing:locatedIn
WEST	West	Region	thing:Place	
EAST	East	Region	thing:Place	
SOUTH	South	Region	thing:Place	
AF058-Ta-Y1	AF058	SampledField	thing:Place,obo:ENVO_00000114	West
AF059-Ta-Y1	AF059	SampledField	thing:Place,obo:ENVO_00000114	West
AF060-Ta-Y1	AF060	SampledField	thing:Place,obo:ENVO_00000114	West
AF061-Ta-Y1	AF061	SampledField	thing:Place,obo:ENVO_00000114	West
AF062-Ta-Y1	AF062	SampledField	thing:Place,obo:ENVO_00000114	West
AF063-Ta-Y1	AF063	SampledField	thing:Place,obo:ENVO_00000114	West
AF064-Ta-Y1	AF064	SampledField	thing:Place,obo:ENVO_00000114	East
AF065-Ta-Y1	AF065	SampledField	thing:Place,obo:ENVO_00000114	East
AF066-Ta-Y1	AF066	SampledField	thing:Place,obo:ENVO_00000114	East
AF067-Ta-Y1	AF067	SampledField	thing:Place,obo:ENVO_00000114	East
AF068-Ta-Y1	AF068	SampledField	thing:Place,obo:ENVO_00000114	East
AF069-Ta-Y1	AF069	SampledField	thing:Place,obo:ENVO_00000114	East
AF070-Ta-Y1	AF070	SampledField	thing:Place,obo:ENVO_00000114	East
AF071-Ta-Y1	AF071	SampledField	thing:Place,obo:ENVO_00000114	East
AF072-Ta-Y1	AF072	SampledField	thing:Place,obo:ENVO_00000114	East
AF073-Ta-Y1	AF073	SampledField	thing:Place,obo:ENVO_00000114	East
AF074-Ta-Y1	AF074	SampledField	thing:Place,obo:ENVO_00000114	East
AF075-Ta-Y1	AF075	SampledField	thing:Place,obo:ENVO_00000114	East
AF076-Ta-Y1	AF076	SampledField	thing:Place,obo:ENVO_00000114	East
AF077-Ta-Y1	AF077	SampledField	thing:Place,obo:ENVO_00000114	East
AF078-Ta-Y1	AF078	SampledField	thing:Place,obo:ENVO_00000114	East
AF080-Ta-Y1	AF080	SampledField	thing:Place,obo:ENVO_00000114	South
AF081-Ta-Y1	AF081	SampledField	thing:Place,obo:ENVO_00000114	South
AF082-Ta-Y1	AF082	SampledField	thing:Place,obo:ENVO_00000114	South
AF083-Ta-Y1	AF083	SampledField	thing:Place,obo:ENVO_00000114	South
AF084-Ta-Y1	AF084	SampledField	thing:Place,obo:ENVO_00000114	South
AF085-Ta-Y1	AF085	SampledField	thing:Place,obo:ENVO_00000114	South
AF086-Ta-Y1	AF086	SampledField	thing:Place,obo:ENVO_00000114	South
AF087-Ta-Y1	AF087	SampledField	thing:Place,obo:ENVO_00000114	South
AF088-Ta-Y1	AF088	SampledField	thing:Place,obo:ENVO_00000114	South
AF089-Ta-Y1	AF089	SampledField	thing:Place,obo:ENVO_00000114	South
AF090-Ta-Y1	AF090	SampledField	thing:Place,obo:ENVO_00000114	South
AF091-Ta-Y1	AF091	SampledField	thing:Place,obo:ENVO_00000114	South
AF092-Ta-Y1	AF092	SampledField	thing:Place,obo:ENVO_00000114	South
AF093-Ta-Y1	AF093	SampledField	thing:Place,obo:ENVO_00000114	South
AF094-Ta-Y1	AF094	SampledField	thing:Place,obo:ENVO_00000114	South
AF095-Ta-Y1	AF095	SampledField	thing:Place,obo:ENVO_00000114	South
AF096-Ta-Y1	AF096	SampledField	thing:Place,obo:ENVO_00000114	South
AF097-Ta-Y1	AF097	SampledField	thing:Place,obo:ENVO_00000114	South
AF098-Ta-Y1	AF098	SampledField	thing:Place,obo:ENVO_00000114	South
AF099-Ta-Y1	AF099	SampledField	thing:Place,obo:ENVO_00000114	South
AF152-Ta-Y2	AF152	SampledField	thing:Place,obo:ENVO_00000114	East
AF153-Ta-Y2	AF153	SampledField	thing:Place,obo:ENVO_00000114	East
AF154-Ta-Y2	AF154	SampledField	thing:Place,obo:ENVO_00000114	East
AF155-Ta-Y2	AF155	SampledField	thing:Place,obo:ENVO_00000114	East
AF156-Ta-Y2	AF156	SampledField	thing:Place,obo:ENVO_00000114	East
AF157-Ta-Y2	AF157	SampledField	thing:Place,obo:ENVO_00000114	East
AF158-Ta-Y2	AF158	SampledField	thing:Place,obo:ENVO_00000114	East
AF159-Ta-Y2	AF159	SampledField	thing:Place,obo:ENVO_00000114	East
AF160-Ta-Y2	AF160	SampledField	thing:Place,obo:ENVO_00000114	East
AF161-Ta-Y2	AF161	SampledField	thing:Place,obo:ENVO_00000114	East
AF162-Ta-Y2	AF162	SampledField	thing:Place,obo:ENVO_00000114	East
AF163-Ta-Y2	AF163	SampledField	thing:Place,obo:ENVO_00000114	East
AF164-Ta-Y2	AF164	SampledField	thing:Place,obo:ENVO_00000114	East
AF165-Ta-Y2	AF165	SampledField	thing:Place,obo:ENVO_00000114	East
