Name	InDbName	AltURI	Set	Unit	DataType
PH	PH	obo:ENVO_09200010	SoilBiochemistry		xsd:float
PHOSPHATE	Phosphate	obo:CHEBI_26020	SoilBiochemistry	unit:mg.kg-1	xsd:float
PLANT	SampledPlant	obo:PO_0000003	PlantPhenotype		xsd:string
PLANT_DENSITY	PlantDensity		PlantPhenotype		xsd:integer
PLANT_DEVELOPMENT_STAGE	PlantDevelopmentStage	obo:PO_0007033	PlantPhenotype		xsd:string
PLANT_HEIGHT	PlantHeight	obo:TO_0000207	PlantPhenotype	unit:cm	xsd:float
POTASH	Potash	obo:CHEBI_147420	SoilBiochemistry	unit:mg.kg-1	xsd:float
POTASSIUM	Potassium	obo:CHEBI_26217	SoilBiochemistry	unit:cmol.kg	xsd:float
preliq_q	preliq_q		Climatic	unit:mm	xsd:float
prenei_q	prenei_q		Climatic	unit:mm	xsd:float
PROTEIN	SeedProteins		Nirs		xsd:float
q_q	q_q		Climatic	unit:g.kg-1	xsd:float
ROOT_DAMAGES	RootDamages		PlantPhenotype		xsd:boolean
ROW_NUMBER	NumberOfRanks		Biomass		xsd:integer
SLUG_CHEWING_INSECTS	SlugChewingInsects	bago:PestAnimal	PlantPhenotype		xds:boolean
SODIUM	Sodium	obo:CHEBI_26712	SoilBiochemistry	unit:cmol.kg	xsd:float
SODIUM_OXIDE	SodiumOxide		SoilBiochemistry	unit:mg.kg-1	xsd:float
ssi_q	ssi_q		Climatic	unit:J.cm-2	xsd:float
swi_q	swi_q		Climatic	unit:%25	xsd:float
t_q	t_q		Climatic	unit:Cel	xsd:float
tinf_h_q	tinf_h_q		Climatic	unit:Cel	xsd:float
tsup_h_q	tsup_h_q		Climatic	unit:Cel	xsd:float
WATER_HOLDING_CAPACITY	WaterHoldingCapacity	obo:ENVO_06105304	SoilBiochemistry	unit:%25	xsd:float
WEIGHT_TOTAL	WeightTotal		Yields	unit:g	xsd:float
wg_racine_q	wg_racine_q		Climatic	unit:m3.m-3	xsd:float
wgi_racine_q	wgi_racine_q		Climatic	unit:m3.m-3	xsd:float
ZINC	Zinc	obo:CHEBI_27364	SoilBiochemistry	unit:mg.kg-1	xsd:float
L	L		Nirs		xsd:float
P	P		Nirs		xsd:float
P_L	P_L		Nirs		xsd:float
W	W		Nirs		xsd:float
ALTERNARIA_BRASSICAE	AlternariaBrassicae	obo:NCBITaxon_29911,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
BLUMERIA_GRAMINIS	BlumeriaGraminis	obo:NCBITaxon_34373,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
BREVICORYNE_BRASSICAE	BrevicoryneBrassicae	obo:NCBITaxon_69196,bago:PestAnimal	BioagressorPresence		xsd:boolean
DELIA_RADICUM	DeliaRadicum	obo:NCBITaxon_30064,bago:PestAnimal	BioagressorPresence		xsd:boolean
ERYSIPHE_CRUCIFERUM	ErysipheCruciferarum	obo:NCBITaxon_69478,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
GAEUMANNOMYCES_GRAMINIS	GaeumannomycesGraminis	obo:NCBITaxon_29850,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
LEPTOSPHAERIA_BIGLOBOSA	PlenodomusBiglobosus	obo:NCBITaxon_220672,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
LEPTOSPHAERIA_MACULANS	PlenodomusLingam	obo:NCBITaxon_5022,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
MYCOSPHAERELLA_BRASSICICOLA	NeopseudocercosporellaBrassicae	obo:NCBITaxon_1873267,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
MYCOSPHAERELLA_GRAMINICOLA_OR_SEPTORIA_TRITICI	ZymoseptoriaTritici	obo:NCBITaxon_1047171,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
MYZUS_PERSICAE	MyzusPersicae	obo:NCBITaxon_13164,bago:PestAnimal	BioagressorPresence		xsd:boolean
OULEMA_MELANOPUS	OulemaMelanopus	obo:NCBITaxon_294584,bago:PestAnimal	BioagressorPresence		xsd:boolean
PLASMODIOPHORA_BRASSICAE	PlasmodiophoraBrassicae	obo:NCBITaxon_37360,bago:PathogenMicroOrganism	BioagressorPresence		xsd:boolean
PSEUDOCERCOSPORELLA_CAPSELLAE	PseudocercosporellaCapsellae	obo:NCBITaxon_1873268,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
PSYLLIODES_CHRYSOCEPHALUS	PsylliodesChrysocephalus	obo:NCBITaxon_2598218	BioagressorPresence		xsd:boolean
PUCCINIA_RECONDITA	PucciniaRecondita	obo:NCBITaxon_27348,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
PUCCINIA_STRIIFORMIS	PucciniaStriiformis	obo:NCBITaxon_27350,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
PYRENOPEZZIZA_BRASSICAE	PyrenopezizaBrassicae	obo:NCBITaxon_76659,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
SCAPTOMYZA_FLAVA	ScaptomyzaFlava	obo:NCBITaxon_928822,bago:PestAnimal	BioagressorPresence		xsd:boolean
TAPESIA_YALLUNDAE_OR_RHIZOCTONIA_SOLANI_OR_FUSARIUM	TapesiaYallundaeOrRhizoctoniaSolaniOrFusarium	obo:NCBITaxon_456999,obo:NCBITaxon_86028,bago:FungalPathogenOrganism	BioagressorPresence		xsd:boolean
UNDEFINED_FOLIAR_PHYTOPHAGY	UndefinedFoliarPhytophagy		BioagressorPresence		xsd:boolean
UNDEFINED_FOLIAR_PARASITISM	UndefinedFoliarParasitism		BioagressorPresence		xsd:boolean
CROP	Crop		AgriculturalPractice		xsd:string
AGRI_TYPE	AgricultureType		AgriculturalPractice		xsd:string
CONVENTIONAL_ORGANIC	ConventionalOrOrganic		AgriculturalPractice		xsd:string
PRODUCTION_POTENTIAL	ProductionPotential		AgriculturalPractice		xsd:string
SOIL_DEPTH	SoilDepth		AgriculturalPractice		xsd:string
LIVESTOCK	Livestock		AgriculturalPractice		xsd:string
NAME_CROP_Y	NameOfCropY		AgriculturalPractice		xsd:string
MAIN_CROP_Y	MainCropY		AgriculturalPractice		xsd:string
NB_COMPANION_PLANT_Y	NumberOfCompanionPlantY		AgriculturalPractice		xsd:integer
COMPANION_PLANT_Y	CompanionPlantY		AgriculturalPractice		xsd:string
NB_COVER_CROPPING_Y	NbCoverCroppingY		AgriculturalPractice		xsd:integer
NAME_COVER_CROPPING_Y	NameCoverCroppingY		AgriculturalPractice		xsd:string
